Percentage served,Time in ms
0,214.316
1,214.372
2,214.372
3,336.865
4,336.865
5,338.826
6,338.826
7,370.986
8,370.986
9,389.365
10,389.365
11,390.291
12,390.291
13,393.603
14,393.603
15,397.176
16,397.176
17,414.075
18,414.075
19,427.279
20,427.279
21,430.769
22,430.769
23,433.132
24,433.132
25,438.603
26,438.603
27,446.989
28,446.989
29,448.030
30,448.030
31,448.654
32,448.654
33,453.815
34,453.815
35,467.113
36,467.113
37,469.576
38,469.576
39,478.586
40,478.586
41,481.344
42,481.344
43,482.188
44,482.188
45,485.548
46,485.548
47,485.775
48,485.775
49,500.934
50,500.934
51,501.085
52,501.085
53,505.753
54,505.753
55,517.044
56,517.044
57,517.788
58,517.788
59,521.031
60,521.031
61,538.241
62,538.241
63,542.457
64,542.457
65,545.876
66,545.876
67,552.541
68,552.541
69,559.399
70,559.399
71,564.468
72,564.468
73,568.062
74,568.062
75,574.406
76,574.406
77,575.759
78,575.759
79,589.184
80,589.184
81,593.323
82,593.323
83,599.644
84,599.644
85,601.492
86,601.492
87,633.575
88,633.575
89,676.377
90,676.377
91,689.123
92,689.123
93,696.089
94,696.089
95,714.836
96,714.836
97,747.875
98,747.875
99,0.257
100,747.875
